,SEM 1 KT,SEM 2 SGPA,SEM 2 KT,SEM 4 SGPA,SEM 5 SGPA,SEM 6 SGPA,SEM 7 SGPA,SEM 8 SGPA,Label,Hour_per_week_wriassignment,time_to_reach college,Average attendence,Internet at home,2 hr straight lecture,submission on time,"Five lecture straight,woulf you attend all?","Five hr practical staight,do you attend all",Feedback of teacher,preffered transportatin to college,Enrolled to coaching class
57,0,5.9,0,6.0,6.1,6.3,6.5,6.4,1,0,0,2,0,0,1,1,1,26,0,0
61,0,6.8,1,6.5,6.4,6.3,6.8,7.0,1,1,0,2,0,1,1,1,0,6,2,0
160,0,7.67,0,6.92,6.9,6.5,6.4,7.0,1,1,2,4,1,0,0,0,0,10,1,0
163,2,4.8,2,4.6,4.23,4.97,4.37,4.56,2,2,0,4,1,0,1,0,0,7,2,0
70,0,6.2,1,7.0,7.1,6.9,6.8,6.7,1,1,0,0,1,0,0,1,1,10,2,0
120,0,7.9,0,9.0,8.1,6.7,7.2,7.3,1,2,1,1,1,0,0,0,0,23,2,0
92,2,6.2,1,6.2,7.5,8.4,8.41,6.82,1,0,0,4,1,0,1,0,1,9,2,0
12,2,6.1,1,6.2,6.7,6.4,6.8,6.2,1,3,1,4,1,0,0,0,1,12,2,0
122,0,8.1,0,6.8,6.3,6.6,8.3,6.8,1,0,1,4,1,0,0,0,1,23,2,0
46,0,7.6,0,6.82,7.82,8.0,8.2,8.4,1,0,2,2,1,0,1,1,0,22,1,0
236,2,3.5,2,3.9,4.6,4.25,3.9,3.74,2,2,2,4,1,0,0,0,0,2,2,0
55,0,7.15,0,7.5,7.8,7.4,7.2,8.0,1,0,2,2,1,0,1,1,0,21,1,0
192,1,3.7,3,3.2,4.8,4.2,3.57,4.21,2,2,0,0,1,0,0,0,0,16,2,0
243,4,4.2,2,3.8,4.35,3.89,3.7,4.53,2,2,2,0,1,0,1,0,0,25,2,0
219,1,3.5,1,4.1,4.0,3.8,4.0,4.44,2,2,2,4,1,0,1,0,0,2,2,0
30,0,6.85,0,7.3,7.6,6.9,7.2,6.9,1,1,0,1,1,0,0,0,0,6,2,0
224,2,3.8,2,4.1,3.46,4.6,3.46,4.0,2,2,1,4,1,0,1,0,0,15,2,0
77,1,5.6,1,6.1,6.2,6.15,6.0,6.5,1,0,2,0,1,0,0,0,1,6,1,0
179,2,4.95,1,4.85,3.86,4.61,3.76,4.82,2,2,0,4,1,0,1,0,0,1,2,0
96,0,8.7,0,8.1,8.2,5.9,8.77,6.1,1,0,2,2,1,0,1,1,0,26,1,0
201,1,3.5,1,3.7,3.25,3.9,3.5,3.65,2,2,1,4,1,0,1,0,0,8,2,0
51,0,6.3,0,5.6,6.6,6.35,6.25,6.4,1,2,0,0,1,1,1,0,0,23,2,0
15,0,5.2,2,5.9,5.7,5.8,5.9,5.7,1,3,0,1,1,0,0,0,0,21,2,0
76,0,7.2,0,7.2,7.5,7.4,7.6,7.2,1,2,2,2,1,1,1,0,0,10,0,0
62,0,7.02,0,7.0,7.35,8.28,8.3,8.5,1,0,1,0,1,1,1,1,1,22,2,0
257,2,3.2,2,3.8,3.94,3.97,4.9,4.1,2,2,1,4,1,0,1,0,0,4,0,0
18,2,5.2,0,5.4,5.3,5.4,5.2,5.4,1,0,2,1,1,1,1,0,1,26,2,1
223,1,3.4,2,3.5,3.25,4.1,3.25,3.55,2,2,2,4,1,0,1,0,0,5,2,0
65,2,5.8,2,5.9,6.0,6.1,6.2,6.5,1,3,1,2,1,1,0,1,0,12,2,0
195,2,3.7,2,4.13,3.78,3.9,4.68,4.68,2,2,0,4,1,0,1,0,0,24,0,0
29,1,5.8,1,6.2,6.1,5.9,5.8,6.1,1,3,2,3,1,1,1,1,1,10,1,0
50,0,5.6,0,6.1,6.15,6.09,6.12,6.4,1,0,0,4,1,1,1,1,1,12,2,1
248,1,3.8,2,3.6,4.21,3.07,4.7,4.2,2,2,0,1,0,0,1,0,0,8,1,0
138,0,7.19,0,6.9,7.5,7.5,7.1,7.0,1,3,2,1,1,1,0,1,0,10,1,0
199,2,3.4,1,4.1,4.52,4.2,3.7,4.5,2,2,0,4,1,0,1,0,0,1,2,0
60,0,6.3,0,6.8,6.9,7.1,7.2,7.3,1,0,0,0,1,1,0,0,1,20,2,0
172,2,4.78,1,4.23,4.88,4.54,4.44,3.65,2,2,2,4,1,0,1,0,0,19,1,0
38,0,5.0,0,6.5,6.9,6.7,6.8,6.7,1,2,2,0,1,1,0,0,0,12,0,0
79,0,7.1,0,7.84,8.13,8.33,8.1,8.4,1,0,2,2,1,1,1,1,1,9,1,0
250,2,4.2,1,4.2,4.37,4.06,4.2,4.6,2,2,1,4,1,0,1,0,0,2,2,0
166,2,4.72,2,4.58,4.9,4.65,4.23,3.99,2,2,0,4,1,0,1,0,0,19,2,0
31,0,5.7,2,5.8,5.95,6.0,6.1,6.2,1,0,0,1,1,0,0,1,0,21,2,0
252,3,4.8,3,4.9,4.85,4.07,4.6,3.6,2,2,0,4,1,0,1,0,0,7,0,1
174,1,4.87,2,4.0,4.13,4.16,4.78,4.44,2,2,0,4,1,0,0,0,0,7,2,0
112,2,7.2,1,6.3,6.7,6.2,6.8,9.8,1,0,0,2,1,0,1,1,1,9,2,0
17,2,5.2,2,5.9,5.7,5.6,5.3,5.7,1,0,0,1,1,0,1,1,1,11,2,0
75,0,8.77,0,8.0,8.2,8.6,8.5,8.4,1,2,2,1,1,0,1,1,1,26,1,0
164,1,4.73,1,4.55,4.45,4.45,4.13,3.63,2,2,2,4,1,0,1,0,0,24,1,0
142,0,7.2,0,7.6,7.3,8.0,7.9,7.8,1,1,0,1,1,0,1,0,1,21,0,0
249,1,3.7,2,4.5,4.12,4.59,3.5,4.9,2,2,2,4,1,0,1,0,0,8,2,0
